date,temperature,humidity,weather_description
2023-05-03 15:00:00,285.36,85,light rain
2023-05-03 18:00:00,283.58,89,light rain
2023-05-03 21:00:00,280.45,91,clear sky
2023-05-04 00:00:00,279.77,90,clear sky
2023-05-04 03:00:00,279.28,89,clear sky
2023-05-04 06:00:00,282.6,83,clear sky
2023-05-04 09:00:00,287.22,63,clear sky
2023-05-04 12:00:00,289.56,57,clear sky
2023-05-04 15:00:00,289.7,61,few clouds
2023-05-04 18:00:00,285.05,87,scattered clouds
2023-05-04 21:00:00,282.75,90,scattered clouds
2023-05-05 00:00:00,282.45,88,broken clouds
2023-05-05 03:00:00,281.91,88,broken clouds
2023-05-05 06:00:00,285.44,79,broken clouds
2023-05-05 09:00:00,290,66,clear sky
2023-05-05 12:00:00,290.84,67,light rain
2023-05-05 15:00:00,291.25,67,light rain
2023-05-05 18:00:00,287.18,86,light rain
2023-05-05 21:00:00,284.82,89,overcast clouds
2023-05-06 00:00:00,283.84,90,broken clouds
2023-05-06 03:00:00,283.39,92,few clouds
2023-05-06 06:00:00,286.28,87,scattered clouds
2023-05-06 09:00:00,290.89,67,broken clouds
2023-05-06 12:00:00,292.49,62,light rain
2023-05-06 15:00:00,290.89,77,light rain
2023-05-06 18:00:00,287.67,87,light rain
2023-05-06 21:00:00,285.07,91,light rain
2023-05-07 00:00:00,284.05,88,light rain
2023-05-07 03:00:00,282.97,85,few clouds
2023-05-07 06:00:00,286.15,77,few clouds
2023-05-07 09:00:00,291.57,58,scattered clouds
2023-05-07 12:00:00,293.56,54,scattered clouds
2023-05-07 15:00:00,292.95,57,overcast clouds
2023-05-07 18:00:00,287.88,85,light rain
2023-05-07 21:00:00,285.35,86,overcast clouds
2023-05-08 00:00:00,285.75,77,light rain
2023-05-08 03:00:00,284.49,78,overcast clouds
2023-05-08 06:00:00,284.15,89,light rain
2023-05-08 09:00:00,284.49,90,light rain
2023-05-08 12:00:00,284.92,90,light rain
